	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)
VARIABLES	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare	govjobs	govunemp	govgovincdiff	govretire	govhousing	govcare
																																										
govjobs	.						.						.						.						.						.						.					
cntryfe6	1.199	1.649**	0.926	2.427*	0.285***	0.237***	1.258	1.645**	0.943	2.382*	0.266***	0.220***	1.091	1.693*	0.610*	1.659	0.332***	0.216**	2.229***	1.723***	1.725***	1.326*	0.363***	1.148	2.368***	1.711***	1.755***	1.351*	0.423***	1.151	3.899***	1.924***	2.203***	1.328	0.613***	3.602***	0.926	1.596**	0.804	3.447**	0.276***	0.202***
	(1.226)	(2.855)	(-0.495)	(2.154)	(-5.712)	(-3.843)	(1.526)	(2.830)	(-0.378)	(2.085)	(-6.030)	(-3.977)	(0.361)	(2.099)	(-2.014)	(1.073)	(-3.903)	(-3.116)	(10.362)	(6.880)	(6.909)	(2.124)	(-11.925)	(1.071)	(10.219)	(6.191)	(6.599)	(2.153)	(-9.519)	(1.057)	(12.397)	(5.715)	(7.136)	(1.283)	(-3.934)	(5.136)	(-0.482)	(2.625)	(-1.333)	(2.717)	(-5.792)	(-4.279)
cntryfe7	1.712***	1.216	1.224	1.367	1.039	16.695***	1.930***	1.197	1.304*	1.443	1.703**	21.339***	1.781***	1.204	1.453**	1.460	0.989	17.280***	1.172*	1.196*	0.823**	2.223***	0.956	6.130***	1.296**	1.182	0.849	2.331***	1.292*	6.190***	1.290***	1.225**	0.862*	2.224***	1.101	7.612***	2.149***	1.259	1.391**	1.194	1.143	20.548***
	(4.955)	(1.585)	(1.803)	(1.082)	(0.252)	(9.349)	(5.294)	(1.238)	(2.043)	(1.065)	(2.960)	(8.859)	(4.276)	(1.321)	(2.737)	(1.281)	(-0.065)	(8.852)	(2.210)	(2.553)	(-2.741)	(5.816)	(-0.583)	(9.813)	(2.859)	(1.781)	(-1.792)	(4.842)	(2.570)	(8.523)	(3.479)	(2.803)	(-2.048)	(5.458)	(1.180)	(10.660)	(6.383)	(1.797)	(2.712)	(0.570)	(0.856)	(9.736)
cntryfe8	4.672***	10.252***	1.896***	20.287***	1.308*	9.118***	5.902***	9.989***	2.128***	21.400***	2.392***	11.947***	4.424***	10.412***	1.483**	15.607***	1.439*	8.599***	6.274***	10.422***	2.563***	14.565***	1.429***	19.481***	7.832***	10.153***	2.746***	16.127***	2.743***	19.882***	9.172***	11.251***	3.041***	14.579***	2.121***	43.675***	4.041***	10.036***	1.746***	23.217***	1.251	8.150***
	(16.277)	(19.909)	(6.736)	(10.009)	(2.172)	(7.046)	(11.748)	(13.381)	(4.931)	(8.675)	(5.156)	(6.789)	(10.240)	(14.825)	(2.692)	(8.125)	(2.194)	(5.818)	(25.519)	(26.362)	(13.709)	(11.558)	(4.800)	(11.364)	(14.516)	(14.300)	(7.028)	(8.476)	(6.558)	(8.667)	(24.767)	(22.849)	(12.694)	(10.002)	(7.440)	(12.464)	(13.962)	(19.419)	(5.591)	(10.009)	(1.789)	(6.654)
cntryfe9	7.623***	15.553***	5.278***	31.866***	12.500***	5.202***	9.361***	15.200***	5.838***	33.255***	20.847***	6.566***	7.882***	15.360***	6.192***	55.675***	11.207***	5.474***	9.736***	15.272***	7.189***	17.697***	11.554***	9.899***	11.796***	14.923***	7.632***	19.441***	20.682***	10.088***	2.491***	11.564***	3.887***	17.629***	2.586***	0.600	5.609***	14.633***	4.424***	32.146***	9.848***	3.525***
	(22.904)	(25.302)	(17.351)	(10.932)	(16.689)	(7.729)	(16.408)	(17.488)	(12.422)	(10.041)	(16.978)	(7.072)	(18.486)	(19.780)	(15.046)	(8.362)	(12.358)	(6.214)	(31.822)	(31.151)	(27.124)	(13.130)	(21.601)	(14.377)	(19.346)	(18.265)	(15.433)	(9.696)	(18.360)	(8.785)	(4.533)	(10.833)	(6.549)	(4.958)	(3.456)	(-0.955)	(15.330)	(21.502)	(12.768)	(9.702)	(13.878)	(4.855)
cntryfe10	2.214***	6.777***	1.861***	4.787***	1.464***	2.595***	3.878***	6.350***	2.468**	5.626**	7.807***	5.716**	2.203***	6.786***	1.815***	4.711***	1.475***	2.581***	2.310***	6.805***	1.940***	4.647***	1.497***	2.902***	3.865***	6.402***	2.276**	5.911**	6.885***	3.046*	2.375***	6.838***	1.968***	4.647***	1.534***	3.093***	2.188***	6.770***	1.847***	4.978***	1.470***	2.592***
	(11.818)	(23.193)	(9.066)	(10.023)	(4.915)	(7.540)	(4.671)	(5.647)	(3.002)	(2.973)	(6.226)	(3.122)	(11.608)	(23.057)	(8.583)	(9.887)	(4.983)	(7.430)	(12.536)	(23.436)	(9.756)	(9.972)	(5.291)	(8.567)	(4.643)	(5.693)	(2.735)	(3.119)	(5.944)	(2.027)	(12.941)	(23.479)	(9.936)	(9.955)	(5.593)	(9.025)	(11.621)	(23.175)	(8.944)	(10.205)	(4.966)	(7.527)
